Date/Time,Address,Call Type,Description,Incident Number,Duration
11/4/2023 13:22,1000 BLK 32ND AVE S,Domestic,Domestic,2023-00028739,0:24:55
11/2/2023 0:22,500 BLK 17TH ST S,Domestic,POSS PHYSICAL DOMESTIC / SUICIDAL M,2023-00028513,1:10:55
10/30/2023 22:44,900 BLK 23RD AVE S,Domestic,Domestic,2023-00028335,0:38:51
10/30/2023 16:53,2400 BLK 4TH AVE N,Domestic,Domestic,2023-00028306,0:31:03
10/30/2023 14:41,0 BLK RIVER OAKS PT,Domestic,DOMESTIC,2023-00028295,0:31:06
10/30/2023 12:59,300 BLK 11TH ST N,Domestic,DOMESTIC,2023-00028289,0:20:36
10/29/2023 4:27,3400 BLK 28TH AVE S,Domestic,Domestic,2023-00028197,0:32:14
10/28/2023 8:41,0 BLK KING ST,Domestic,DOMESTIC,2023-00028123,0:34:37
10/27/2023 23:21,2900 BLK 4TH AVE N,Domestic,Domestic,2023-00028103,0:46:30
10/26/2023 17:46,1500 BLK 1ST AVE N,Domestic,DOMESTIC,2023-00027967,0:13:21
10/25/2023 19:52,2900 BLK HEATHERWOOD CIR S,Domestic,PHYS DOMESTIC,2023-00027869,0:19:45
10/25/2023 17:22,1800 BLK 54TH AVE N,Domestic,DOMESTIC / 1055,Multiple incidents,3:11:52
10/24/2023 13:47,3300 BLK 3RD AVE N,Domestic,Domestic,2023-00027720,0:40:49
10/24/2023 6:08,600 BLK 36TH AVE S,Domestic,DOMESTIC,2023-00027686,1:14:25
10/23/2023 18:57,3300 BLK 20TH ST S,Domestic,DOMESTIC,2023-00027653,0:40:25
10/23/2023 10:10,2400 BLK 4TH AVE N,Domestic,PHYS DOMESTIC,2023-00027590,0:40:54
10/22/2023 19:53,2300 BLK 19TH ST S,Domestic,Domestic,2023-00027560,3:46:41
10/22/2023 15:03,900 BLK 18 1/2 ST S,Domestic,DOMESTIC,2023-00027541,0:52:35
10/21/2023 11:42,1600 BLK BELSLY BLVD,Domestic,Domestic,2023-00027458,0:56:40
10/20/2023 17:47,1200 BLK 18 1/2 ST N,Domestic,DOMESTIC,2023-00027397,0:56:21
10/19/2023 16:40,900 BLK 8TH ST S,Domestic,DOMESTIC,2023-00027273,0:23:17
10/16/2023 18:33,1000 BLK 18 1/2 ST S,Domestic,DOMESTIC,2023-00026986,1:13:51
10/15/2023 17:08,600 BLK 8TH ST S,Domestic,DOMESTIC,2023-00026876,0:26:27
10/15/2023 13:53,1700 BLK 1ST AVE N,Domestic,DOMESTIC,2023-00026865,0:59:58
10/15/2023 0:01,500 BLK 30TH AVE S,Domestic,Domestic,Multiple incidents,2:33:16
10/12/2023 17:37,500 BLK 30TH AVE S,Domestic,DOMESTIC,2023-00026659,1:25:25
10/9/2023 17:48,800 BLK 15TH ST N,Domestic,PHY DOMESTIC,2023-00026352,0:34:40
10/9/2023 13:09,9300 BLK 10TH ST NW,Domestic,DOMESTIC,2023-00019254,2:24:50
10/8/2023 8:34,900 BLK 11TH ST N,Domestic,DOMESTIC RPT / CLAY CO / 1021,2023-00019188,3:28:29
10/5/2023 22:14,3000 BLK COVENT GARDEN ST S,Domestic,Domestic,2023-00026014,1:04:02
10/5/2023 9:29,2300 BLK 4TH AVE S,Domestic,DOMESTIC RPT,2023-00025964,2:25:17
